2016-8-8 9:11:26 [INFO] The application for jwpaisley.com has started.
2016-8-8 9:16:49 [INFO] The application for jwpaisley.com has started.
2016-8-8 9:21:16 [INFO] The application for jwpaisley.com has started.
2016-8-8 9:28:24 [INFO] The application for jwpaisley.com has started.
2016-8-8 9:31:31 [INFO] The application for jwpaisley.com has started.
2016-8-8 9:36:24 [INFO] A user has connected to the site.
2016-8-8 9:38:00 [INFO] A user has disconnected from the site.
2016-8-8 9:38:00 [INFO] A user has connected to the site.
2016-8-8 9:40:54 [INFO] A user has disconnected from the site.
2016-8-8 9:40:54 [INFO] A user has connected to the site.
2016-8-8 9:40:55 [INFO] A user has disconnected from the site.
2016-8-8 9:40:55 [INFO] A user has connected to the site.
2016-8-8 9:40:55 [INFO] A user has disconnected from the site.
2016-8-8 9:40:55 [INFO] A user has connected to the site.
2016-8-8 9:40:59 [INFO] A user has disconnected from the site.
2016-8-8 9:40:59 [INFO] A user has connected to the site.
2016-8-8 9:51:43 [INFO] A user has disconnected from the site.
2016-8-8 9:51:43 [INFO] A user has connected to the site.
2016-8-8 9:55:19 [INFO] A user has disconnected from the site.
2016-8-8 9:55:20 [INFO] A user has connected to the site.
2016-8-8 9:55:23 [INFO] A user has disconnected from the site.
2016-8-8 9:55:23 [INFO] A user has connected to the site.
2016-8-8 9:55:23 [INFO] A user has disconnected from the site.
2016-8-8 9:55:23 [INFO] A user has connected to the site.
2016-8-8 9:55:24 [INFO] A user has disconnected from the site.
2016-8-8 9:55:24 [INFO] A user has connected to the site.
2016-8-8 9:55:25 [INFO] A user has disconnected from the site.
2016-8-8 9:55:25 [INFO] A user has connected to the site.
2016-8-8 9:55:37 [INFO] A user has disconnected from the site.
2016-8-8 9:55:37 [INFO] A user has connected to the site.
2016-8-8 9:55:38 [INFO] A user has disconnected from the site.
2016-8-8 9:55:38 [INFO] A user has connected to the site.
2016-8-8 9:59:53 [INFO] A user has disconnected from the site.
2016-8-8 9:59:53 [INFO] A user has connected to the site.
2016-8-8 10:00:23 [INFO] A user has disconnected from the site.
2016-8-8 10:00:23 [INFO] A user has connected to the site.
2016-8-8 10:00:41 [INFO] A user has disconnected from the site.
2016-8-8 10:00:41 [INFO] A user has connected to the site.
2016-8-8 10:00:48 [INFO] A user has disconnected from the site.
2016-8-8 10:00:48 [INFO] A user has connected to the site.
2016-8-8 10:01:14 [INFO] A user has disconnected from the site.
2016-8-8 10:01:14 [INFO] A user has connected to the site.
2016-8-8 10:01:36 [INFO] A user has disconnected from the site.
2016-8-8 10:01:36 [INFO] A user has connected to the site.
2016-8-8 10:01:43 [INFO] A user has disconnected from the site.
2016-8-8 10:01:43 [INFO] A user has connected to the site.
2016-8-8 10:19:00 [INFO] A user has disconnected from the site.
2016-8-8 10:19:00 [INFO] A user has connected to the site.
2016-8-8 10:19:33 [INFO] A user has disconnected from the site.
2016-8-8 10:19:33 [INFO] A user has connected to the site.
2016-8-8 10:20:11 [INFO] A user has disconnected from the site.
2016-8-8 10:20:11 [INFO] A user has connected to the site.
2016-8-8 10:20:20 [INFO] A user has disconnected from the site.
2016-8-8 10:20:20 [INFO] A user has connected to the site.
2016-8-8 10:20:29 [INFO] A user has disconnected from the site.
2016-8-8 10:20:29 [INFO] A user has connected to the site.
2016-8-8 10:20:47 [INFO] A user has disconnected from the site.
2016-8-8 10:20:47 [INFO] A user has connected to the site.
2016-8-8 10:21:31 [INFO] A user has disconnected from the site.
2016-8-8 10:21:31 [INFO] A user has connected to the site.
2016-8-8 10:21:32 [INFO] A user has disconnected from the site.
2016-8-8 10:21:32 [INFO] A user has connected to the site.
2016-8-8 10:21:32 [INFO] A user has disconnected from the site.
2016-8-8 10:21:32 [INFO] A user has connected to the site.
2016-8-8 10:21:32 [INFO] A user has disconnected from the site.
2016-8-8 10:21:32 [INFO] A user has connected to the site.
2016-8-8 10:22:45 [INFO] A user has disconnected from the site.
2016-8-8 10:22:45 [INFO] A user has connected to the site.
2016-8-8 10:23:33 [INFO] A user has disconnected from the site.
2016-8-8 10:23:33 [INFO] A user has connected to the site.
2016-8-8 10:33:36 [INFO] A user has disconnected from the site.
2016-8-8 10:33:36 [INFO] A user has connected to the site.
2016-8-8 10:42:02 [INFO] A user has disconnected from the site.
2016-8-8 10:42:02 [INFO] A user has connected to the site.
2016-8-8 10:42:03 [INFO] A user has disconnected from the site.
2016-8-8 10:42:03 [INFO] A user has connected to the site.
2016-8-8 10:43:44 [INFO] A user has disconnected from the site.
2016-8-8 10:43:44 [INFO] A user has connected to the site.
2016-8-8 10:43:47 [INFO] A user has disconnected from the site.
2016-8-8 10:43:48 [INFO] A user has connected to the site.
2016-8-8 10:45:35 [INFO] A user has disconnected from the site.
2016-8-8 10:45:35 [INFO] A user has connected to the site.
2016-8-8 10:45:41 [INFO] A user has disconnected from the site.
2016-8-8 10:45:41 [INFO] A user has connected to the site.
2016-8-8 10:45:42 [INFO] A user has disconnected from the site.
2016-8-8 10:45:42 [INFO] A user has connected to the site.
2016-8-8 10:45:42 [INFO] A user has disconnected from the site.
2016-8-8 10:45:42 [INFO] A user has connected to the site.
2016-8-8 10:45:42 [INFO] A user has disconnected from the site.
2016-8-8 10:45:42 [INFO] A user has connected to the site.
2016-8-8 10:45:48 [INFO] A user has disconnected from the site.
2016-8-8 10:45:48 [INFO] A user has connected to the site.
2016-8-8 10:45:48 [INFO] A user has disconnected from the site.
2016-8-8 10:45:48 [INFO] A user has connected to the site.
2016-8-8 10:45:48 [INFO] A user has disconnected from the site.
2016-8-8 10:45:48 [INFO] A user has connected to the site.
2016-8-8 10:45:49 [INFO] A user has disconnected from the site.
2016-8-8 10:45:49 [INFO] A user has connected to the site.
2016-8-8 10:45:49 [INFO] A user has disconnected from the site.
2016-8-8 10:45:49 [INFO] A user has connected to the site.
2016-8-8 10:45:49 [INFO] A user has disconnected from the site.
2016-8-8 10:45:49 [INFO] A user has connected to the site.
2016-8-8 10:47:01 [INFO] A user has disconnected from the site.
2016-8-8 10:47:01 [INFO] A user has connected to the site.
2016-8-8 10:47:02 [INFO] A user has disconnected from the site.
