2017-3-30 17:36:41 [INFO] The application for jwpaisley.com has restarted.
2017-3-30 17:36:48 [INFO] A user has connected to the site.
2017-3-30 17:37:32 [INFO] The application for jwpaisley.com has restarted.
2017-3-30 17:37:33 [INFO] A user has connected to the site.
2017-3-30 17:37:35 [INFO] A user has disconnected from the site.
2017-3-30 17:37:35 [INFO] A user has connected to the site.
2017-3-30 17:37:47 [INFO] A user has disconnected from the site.
2017-3-30 17:37:48 [INFO] A user has connected to the site.
2017-3-30 17:38:34 [INFO] A user has disconnected from the site.
2017-3-30 17:38:35 [INFO] A user has connected to the site.
2017-3-30 17:38:51 [INFO] A user has disconnected from the site.
2017-3-30 17:38:52 [INFO] A user has connected to the site.
2017-3-30 17:39:24 [INFO] A user has disconnected from the site.
2017-3-30 17:39:25 [INFO] A user has connected to the site.
2017-3-30 17:39:26 [INFO] A user has disconnected from the site.
2017-3-30 17:39:26 [INFO] A user has connected to the site.
2017-3-30 17:39:27 [INFO] A user has disconnected from the site.
2017-3-30 17:39:27 [INFO] A user has connected to the site.
2017-3-30 17:39:28 [INFO] A user has connected to the site.
2017-3-30 17:39:48 [INFO] A user has disconnected from the site.
2017-3-30 17:39:49 [INFO] A user has connected to the site.
2017-3-30 17:39:50 [INFO] A user has disconnected from the site.
2017-3-30 17:39:50 [INFO] A user has connected to the site.
2017-3-30 17:39:51 [INFO] A user has connected to the site.
2017-3-30 17:39:52 [INFO] A user has connected to the site.
2017-3-30 17:40:15 [INFO] A user has disconnected from the site.
2017-3-30 17:40:15 [INFO] A user has connected to the site.
2017-3-30 17:40:17 [INFO] A user has disconnected from the site.
2017-3-30 17:40:17 [INFO] A user has connected to the site.
2017-3-30 17:40:17 [INFO] A user has connected to the site.
2017-3-30 17:40:20 [INFO] A user has disconnected from the site.
2017-3-30 17:40:20 [INFO] A user has connected to the site.
